FirstYrScore,SecondYrScore,StudyTime,Failures,Absences,FinalYrScore
5,6,2,0,6,6
5,5,2,0,4,6
7,8,2,3,10,10
15,14,3,0,2,15
6,10,2,0,4,10
15,15,2,0,10,15
12,12,2,0,0,11
6,5,2,0,6,6
16,18,2,0,0,19
14,15,2,0,0,15
10,8,2,0,0,9
10,12,3,0,4,12
14,14,1,0,2,14
10,10,2,0,2,11
14,16,3,0,0,16
14,14,1,0,4,14
13,14,3,0,6,14
8,10,2,0,4,10
6,5,1,3,16,5
8,10,1,0,4,10
13,14,2,0,0,15
12,15,1,0,0,15
15,15,2,0,2,16
13,13,2,0,0,12
10,9,3,0,2,8
6,9,1,2,14,8
12,12,1,0,2,11
15,16,1,0,4,15
11,11,2,0,4,11
10,12,2,0,16,11
9,11,2,0,0,12
17,16,2,0,0,17
17,16,2,0,0,16
8,10,2,0,0,12
12,14,1,0,0,15
8,7,1,0,0,6
15,16,3,0,2,18
15,16,3,0,7,15
12,12,3,0,2,11
14,13,1,0,8,13
7,10,2,1,25,11
12,12,1,0,8,12
19,18,2,0,2,18
8,8,1,0,0,11
10,10,2,1,14,9
8,8,2,0,8,6
11,12,2,0,12,11
19,19,4,0,4,20
15,15,2,0,2,14
7,7,2,1,2,7
12,13,2,0,2,13
11,13,2,0,2,13
11,11,1,1,6,10
8,10,1,0,0,11
10,13,1,0,6,13
8,9,2,0,8,10
14,15,2,0,0,15
14,15,2,0,4,15
9,10,2,0,2,9
15,16,2,0,2,16
10,11,2,0,6,11
10,8,1,0,6,11
8,10,2,0,4,9
10,9,3,0,2,9
10,10,2,0,0,10
16,15,2,0,2,15
13,13,4,0,4,12
7,7,4,0,4,6
8,9,2,0,2,8
16,16,4,0,12,16
13,15,4,0,0,15
10,10,4,0,0,10
8,6,2,2,2,5
12,12,1,0,2,14
11,12,2,0,54,11
9,9,2,0,6,10
11,11,4,0,8,10
11,11,4,0,0,11
8,8,1,3,2,10
5,5,2,0,12,5
10,12,1,0,2,12
11,10,3,0,4,11
7,6,2,0,10,6
15,15,2,0,4,15
9,10,2,0,2,10
7,9,2,2,6,8
8,7,2,0,4,6
13,14,3,0,4,14
11,10,2,1,12,10
8,6,2,0,18,7
7,7,3,0,0,8
16,17,1,0,4,18
7,6,2,0,4,6
11,10,2,0,0,10
11,13,4,0,6,14
7,10,4,1,2,10
11,15,1,0,2,15
8,9,2,0,2,10
11,14,1,0,6,14
7,9,3,0,0,8
7,7,1,0,14,5
16,17,3,0,0,17
10,13,1,0,4,14
7,6,2,0,26,6
16,18,2,0,0,18
10,11,4,0,10,11
7,8,4,0,8,8
16,18,3,0,2,18
10,13,4,0,6,13
14,15,3,0,4,16
18,19,1,0,6,19
7,10,3,1,0,10
10,13,2,1,6,13
18,19,1,0,10,19
9,9,2,0,8,9
15,15,2,0,2,16
11,13,2,0,2,14
13,14,1,0,0,13
9,7,2,1,20,8
14,13,1,0,6,13
16,15,2,0,2,15
16,14,4,0,6,15
13,13,2,0,2,13
14,11,1,0,18,13
8,7,2,0,0,8
13,13,1,0,0,12
7,10,2,0,0,11
7,8,2,3,2,9
7,4,1,2,0,0
18,18,1,0,8,18
12,0,3,2,0,0
8,0,1,0,0,0
10,13,1,0,12,12
12,11,1,0,16,11
9,0,2,0,0,0
11,0,3,0,0,0
10,0,2,0,0,0
4,0,1,2,0,0
14,12,2,1,0,12
16,16,1,0,0,15
7,9,4,0,0,0
9,9,1,2,8,9
9,11,3,0,2,11
14,14,1,0,2,13
5,0,1,3,0,0
8,11,2,0,0,11
6,7,2,3,0,0
10,11,2,0,2,11
7,6,1,0,0,0
8,9,1,3,0,10
6,5,1,3,0,0
12,13,1,1,6,14
10,10,3,2,8,10
5,0,1,3,0,0
